,model_name,epochs,batches_count,k,structural_wt,lr,start_loss,end_loss,mrr,mr,hits_10,hits_5,hits_3,hits_1,losses_list
1,transH_without_weights,100,5,40,0.1,0.1,4.456549119,0.495373139,0.182028278,46.39240885,0.370591751,0.258517633,0.193664077,0.088164973,"[4.456549118857347, 3.057416749910544, 2.008106183156409, 1.7592812263935274, 1.6862221754234257, 1.6249749647145357, 1.5283697929091127, 1.4510815491809796, 1.4753942280931933, 1.3851264002365618, 1.3421898917084127, 1.2812172926109255, 1.245564452503777, 1.2048299619563057, 1.1712190506719147, 1.106599748528944, 1.0865598256351383, 1.0668159776061545, 1.012317593407085, 1.0050022581454756, 0.9841705865835719, 0.9403661674518925, 0.9312260673852973, 0.9285899077359653, 0.8871694783218035, 0.8885361377822837, 0.8799566137881679, 0.8849854292153706, 0.8414855646419768, 0.8048741309090728, 0.8136522443543257, 0.7998448340340728, 0.7960408839257316, 0.77498439177302, 0.777233607168416, 0.7617806859295484, 0.7642076487456266, 0.7521669965360608, 0.740664882514313, 0.724635637200819, 0.7364112756937818, 0.732051268910027, 0.7013458795523219, 0.7122719179886291, 0.7214920781647582, 0.693094237038804, 0.6855489716275047, 0.6920878247753658, 0.660148026561009, 0.6681363248946406, 0.6612390493921955, 0.6623142543336514, 0.6385533611889711, 0.6725943451315999, 0.6566091911180025, 0.645381913900982, 0.6227888655723203, 0.6247348387429429, 0.6219102854643765, 0.6428825553136928, 0.6295013039470022, 0.623937421415295, 0.6160759845762762, 0.6169147675880645, 0.5902802600812063, 0.5764927133652393, 0.6139779826156966, 0.5799973737799181, 0.6096892456365299, 0.5544520797923624, 0.5819344789927242, 0.5718929145172352, 0.5747530483410862, 0.591932293840947, 0.587323145587329, 0.5693103198180065, 0.5769698514283158, 0.5546772964128102, 0.5668496401255367, 0.5553787270271747, 0.5499799422635376, 0.5624532762677918, 0.5407820451653944, 0.5842795879179589, 0.5483449067171596, 0.5430959376366691, 0.5424233084719903, 0.5480286964630049, 0.50922951734703, 0.5215488579437023, 0.5445854361730678, 0.5232149235771509, 0.5428817787849872, 0.4992496480771907, 0.5277482670985408, 0.522721121208055, 0.5189822752663804, 0.5236981418599913, 0.5233960023059796, 0.4953731391266102]"
2,transH_without_weights,50,5,50,0.1,0.1,4.392851339,0.624194258,0.195223062,43.40526001,0.387029289,0.283024507,0.210101614,0.098027496,"[4.392851338859733, 2.850107192022503, 1.8921252223978213, 1.718863559557888, 1.641079486720738, 1.5720602486879771, 1.4710394240517652, 1.3957916648029978, 1.419814154937977, 1.33008039246382, 1.287412143542263, 1.2202428919668415, 1.1793700084734813, 1.1432286386271469, 1.1043079948910624, 1.053329708497336, 1.0212173267781885, 1.000911116660703, 0.9507100578482824, 0.9449737626480995, 0.9208551071982347, 0.8871844497952449, 0.8716809454765029, 0.8673208921010258, 0.8259309802649889, 0.8269772439815919, 0.8235486057271788, 0.8300818523377863, 0.7855692234961434, 0.7532076226542621, 0.7616705275673903, 0.750682879343591, 0.7440129481502465, 0.7258860192529422, 0.7307066628647821, 0.7120311940899332, 0.7221607780941873, 0.7022589841265108, 0.6901881793073116, 0.6779294234802401, 0.6828283567161657, 0.6860439154937977, 0.6557808990090251, 0.6602630692887246, 0.6821079399749523, 0.6511181547441556, 0.6453391582304588, 0.6513186544559081, 0.6193557312167024, 0.6241942582846295]"
3,transH_without_weights,100,5,50,0.1,0.1,4.392851339,0.454771746,0.164905688,46.39599522,0.36700538,0.249551704,0.180215182,0.065451285,"[4.392851338859733, 2.850107192022503, 1.8921252223978213, 1.718863559557888, 1.641079486720738, 1.5720602486879771, 1.4710394240517652, 1.3957916648029978, 1.419814154937977, 1.33008039246382, 1.287412143542263, 1.2202428919668415, 1.1793700084734813, 1.1432286386271469, 1.1043079948910624, 1.053329708497336, 1.0212173267781885, 1.000911116660703, 0.9507100578482824, 0.9449737626480995, 0.9208551071982347, 0.8871844497952449, 0.8716809454765029, 0.8673208921010258, 0.8259309802649889, 0.8269772439815919, 0.8235486057271788, 0.8300818523377863, 0.7855692234961434, 0.7532076226542621, 0.7616705275673903, 0.750682879343591, 0.7440129481502465, 0.7258860192529422, 0.7307066628647821, 0.7120311940899332, 0.7221607780941873, 0.7022589841265108, 0.6901881793073116, 0.6779294234802401, 0.6828283567161657, 0.6860439154937977, 0.6557808990090251, 0.6602630692887246, 0.6821079399749523, 0.6511181547441556, 0.6453391582304588, 0.6513186544559081, 0.6193557312167024, 0.6241942582846295, 0.6196423324313176, 0.6303964551775206, 0.6043557514064488, 0.6224631428415235, 0.6237297776394521, 0.6071710406975589, 0.5857323255854405, 0.5893095137812102, 0.5861061076778189, 0.6008195173346056, 0.5911145004000676, 0.5899359084267652, 0.5839296374915514, 0.5854619538207697, 0.565037214361681, 0.5356074908307491, 0.5801586432614703, 0.5445125045970499, 0.5670084557763796, 0.5142141638214655, 0.5428386659112595, 0.5350384040036578, 0.5386228915692589, 0.554794676491929, 0.5493916751774213, 0.5390739305025445, 0.5327631438354803, 0.5234562065765148, 0.5332460825679867, 0.5153008380919012, 0.526648236534371, 0.5350783408749801, 0.5093788748782403, 0.5466796875, 0.5170268672719863, 0.516894243934379, 0.5096818841444021, 0.5134543071873012, 0.4760526856089973, 0.48513906541974794, 0.511819947220897, 0.488236537477139, 0.5191612340718432, 0.4689300692415116, 0.5003853911965251, 0.4871970373255606, 0.48108847426397505, 0.49269053529540396, 0.48874488422888834, 0.45477174559925654]"
4,transH_without_weights,50,5,40,0.1,0.01,4.923323754,1.603846985,0.143409928,53.58218769,0.296772265,0.194261805,0.142558279,0.065451285,"[4.923323754075223, 4.711817835062818, 4.49620501103292, 4.273836511510019, 4.050466538446247, 3.824059779043416, 3.5949679697439567, 3.369593434418734, 3.191601438255407, 2.9654951644004455, 2.7650324154142814, 2.5382704096592716, 2.3481725484056932, 2.182408145972487, 2.085990738808047, 1.9682302848680024, 1.9360943898596532, 1.900658185730757, 1.839297260158238, 1.8297155171556934, 1.818538939497853, 1.7884610629870388, 1.7882665580768924, 1.7855613184339219, 1.7440722594127704, 1.768426653447042, 1.748508319417939, 1.7626071920225033, 1.726712401101304, 1.7063182102814884, 1.716856636649173, 1.7031577384502226, 1.7209436004095102, 1.693742762752465, 1.6945086685452448, 1.6711105230200383, 1.6995489610667143, 1.6655610450958174, 1.6719733085341126, 1.6832318876232506, 1.6540242202409352, 1.6703771693105915, 1.6292549424499045, 1.6582539099773377, 1.6339709876451176, 1.6635941600071564, 1.6116596716960878, 1.6455863661438455, 1.599213904460878, 1.6038469853291986]"
5,transH_without_weights,100,5,40,0.1,0.01,4.923323754,1.308210052,0.162259264,47.64973102,0.317692767,0.215481172,0.166168559,0.080394501,"[4.923323754075223, 4.711817835062818, 4.49620501103292, 4.273836511510019, 4.050466538446247, 3.824059779043416, 3.5949679697439567, 3.369593434418734, 3.191601438255407, 2.9654951644004455, 2.7650324154142814, 2.5382704096592716, 2.3481725484056932, 2.182408145972487, 2.085990738808047, 1.9682302848680024, 1.9360943898596532, 1.900658185730757, 1.839297260158238, 1.8297155171556934, 1.818538939497853, 1.7884610629870388, 1.7882665580768924, 1.7855613184339219, 1.7440722594127704, 1.768426653447042, 1.748508319417939, 1.7626071920225033, 1.726712401101304, 1.7063182102814884, 1.716856636649173, 1.7031577384502226, 1.7209436004095102, 1.693742762752465, 1.6945086685452448, 1.6711105230200383, 1.6995489610667143, 1.6655610450958174, 1.6719733085341126, 1.6832318876232506, 1.6540242202409352, 1.6703771693105915, 1.6292549424499045, 1.6582539099773377, 1.6339709876451176, 1.6635941600071564, 1.6116596716960878, 1.6455863661438455, 1.599213904460878, 1.6038469853291986, 1.5899411266996661, 1.6090166475329994, 1.5688450781746979, 1.5910754487714696, 1.560598001649968, 1.5610241606035304, 1.5888755429488708, 1.5558645000894562, 1.5431891288466126, 1.5640470936704836, 1.5367584461474237, 1.5128271670741888, 1.5454285133885974, 1.548424019461673, 1.5154544742962786, 1.4836382295642494, 1.5235085057848283, 1.4817801206166508, 1.4922754341106075, 1.448833809190124, 1.4641183168833491, 1.4697337065640903, 1.4653450769322518, 1.4587580945352259, 1.4753161714277194, 1.4398338725548665, 1.4515205363887564, 1.411526698920563, 1.4267037661020991, 1.401206073324189, 1.427037859812341, 1.4232510709883905, 1.383448849743559, 1.4157559227397423, 1.3705778553892334, 1.4018822434597646, 1.3773487819060115, 1.4068041308842238, 1.3488733810929547, 1.364144843103928, 1.3495972611521947, 1.336633735637325, 1.3514215134482348, 1.302108554985687, 1.3260166469117765, 1.3407565129015586, 1.300961653148855, 1.3371435422630407, 1.2998588115507712, 1.3082100516360529]"
6,transH_without_weights,50,5,50,0.1,0.01,4.914115428,1.558960178,0.148304881,52.60818888,0.300657501,0.203825463,0.144351464,0.069336521,"[4.914115428196565, 4.677134397861005, 4.439982406965649, 4.194393586991094, 3.947168092994593, 3.696569544668416, 3.4441340400365776, 3.196602593730121, 3.000905432470579, 2.753521153884383, 2.5311407890028628, 2.2832771437162056, 2.1003648442469784, 2.0096458842736165, 1.969320748598521, 1.8814429207915873, 1.8763253481333493, 1.8512776382096852, 1.7979461436963264, 1.791470546576813, 1.7806708027691636, 1.7543482812003022, 1.758934118062182, 1.7561277122594625, 1.7154868089515745, 1.7404050249483143, 1.7186702039102257, 1.7356750332975508, 1.6963363065064407, 1.6753071947558842, 1.6859091722328243, 1.6709260819219147, 1.6895041274053753, 1.6609378106114823, 1.6614488596831265, 1.6382658436704836, 1.6665905357923823, 1.6317847176665872, 1.6381434938076496, 1.6445425251968033, 1.6155735006162533, 1.6337259773079675, 1.5918892508548028, 1.6192062572061865, 1.5965834290016698, 1.626173583363152, 1.5708527776121184, 1.6029808452111165, 1.5574192658635497, 1.5589601783655376]"
7,transH_without_weights,100,5,50,0.1,0.01,4.914115428,1.240039295,0.168951807,46.19695158,0.322773461,0.221159594,0.173341303,0.086670652,"[4.914115428196565, 4.677134397861005, 4.439982406965649, 4.194393586991094, 3.947168092994593, 3.696569544668416, 3.4441340400365776, 3.196602593730121, 3.000905432470579, 2.753521153884383, 2.5311407890028628, 2.2832771437162056, 2.1003648442469784, 2.0096458842736165, 1.969320748598521, 1.8814429207915873, 1.8763253481333493, 1.8512776382096852, 1.7979461436963264, 1.791470546576813, 1.7806708027691636, 1.7543482812003022, 1.758934118062182, 1.7561277122594625, 1.7154868089515745, 1.7404050249483143, 1.7186702039102257, 1.7356750332975508, 1.6963363065064407, 1.6753071947558842, 1.6859091722328243, 1.6709260819219147, 1.6895041274053753, 1.6609378106114823, 1.6614488596831265, 1.6382658436704836, 1.6665905357923823, 1.6317847176665872, 1.6381434938076496, 1.6445425251968033, 1.6155735006162533, 1.6337259773079675, 1.5918892508548028, 1.6192062572061865, 1.5965834290016698, 1.626173583363152, 1.5708527776121184, 1.6029808452111165, 1.5574192658635497, 1.5589601783655376, 1.5473432778705472, 1.5667698207399015, 1.5236930711275445, 1.5484631254472805, 1.514920968014472, 1.5159029040931138, 1.5423332389074427, 1.5076748369910942, 1.4898959327290076, 1.513641807808524, 1.4881379959844148, 1.459842408158397, 1.4938644913923347, 1.496557182331425, 1.4612235421139472, 1.431277395932729, 1.4686868837468194, 1.4281188809538008, 1.4348333072419688, 1.3880735441018608, 1.4073763393567111, 1.4112824651121183, 1.4030499873270514, 1.399023033705073, 1.4156225151081425, 1.3824571604643765, 1.3911795346791507, 1.3499812390664758, 1.3672162626232507, 1.3407768424230677, 1.3656544770296597, 1.3610255583552004, 1.321649433941635, 1.3558115097705947, 1.30930402527632, 1.3388726853232347, 1.3135729763040713, 1.3403605453840648, 1.2875687849127306, 1.2996970140296995, 1.2868749875755408, 1.2725361054786897, 1.2879572511629294, 1.2346372958661338, 1.2645385276270276, 1.2759438085192032, 1.2368061405405137, 1.2735623502852655, 1.2373309031090967, 1.2400392954586117]"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,transH_with_weights,50,5,40,0.1,0.1,4.493585935,1.244334276,0.180631997,45.0416417,0.383762732,0.259436788,0.186039545,0.085080887,
,transH_without_weights,50,5,40,0.1,0.1,4.456549119,0.668136325,0.194016355,43.52958757,0.395696354,0.283024507,0.210998207,0.095038852,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
